"RACE_ID","RACE_DATE","RACE_COURSE","COURSE","WEATHER","TRACK","DISTANCE","PRIZE1","HORSE_NAME","FRAME","NUM","GENDER","AGE","CNT","RANK_1","RANK_2","RANK_3","RANK_4","RANK_5","RACE_COURSE_CNT","RACE_COURSE_RANK_1","RACE_COURSE_RANK_2","RACE_COURSE_RANK_3","RACE_COURSE_RANK_4","RACE_COURSE_RANK_5","COURSE_CNT","COURSE_RANK_1","COURSE_RANK_2","COURSE_RANK_3","COURSE_RANK_4","COURSE_RANK_5","DISTANCE_CNT","DISTANCE_RANK_1","DISTANCE_RANK_2","DISTANCE_RANK_3","DISTANCE_RANK_4","DISTANCE_RANK_5","STD_DEV","RACE_TIME","AVG_RACE_TIME","RANK","POPULARITY","ODDS"
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"サウンドギャツビー",8,14,1,"5",16,1,0,2,2,2,1,1,0,0,0,0,5,1,0,2,0,0,1,0,0,0,0,0,30.1817321928369,228.3,224.675,12,11,36.8
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"スプレーモゲレイロ",7,12,1,"4",15,1,0,0,0,2,2,1,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,44.9429247664481,225.6,224.675,9,10,25
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"トーキングポイント",6,9,1,"3",8,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,46.5830572746271,225.3,224.675,8,13,42
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"ドーノデルソーレ",8,13,1,"4",15,2,1,1,1,2,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,47.6764789467464,225.1,224.675,7,8,13.8
"1703030104",2017/11/03,"17","3",1,1,3350,1350,"ビットアレグロ",7,11,1,"8",34,2,0,3,2,2,0,0,0,0,0,0,14,1,0,1,1,1,4,0,0,0,1,1,58.0639848318801,223.2,224.675,4,4,9.2
"1703030105",2017/11/03,"17","3",1,1,2750,780,"アサクサチャンス",4,4,1,"3",7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,42.4077105775289,186.5,183.77676056338,9,8,46.9
"1703030105",2017/11/03,"17","3",1,1,2750,780,"イナフイズイナフ",8,10,1,"4",4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6916968477479,196.8,183.77676056338,10,9,60.4
"1703030105",2017/11/03,"17","3",1,1,2750,780,"カシノカーム",5,5,1,"6",50,1,3,1,4,5,11,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8566893159471,180.6,183.77676056338,1,6,17.2
"1703030105",2017/11/03,"17","3",1,1,2750,780,"コンゴウリキ",3,3,3,"4",4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,45.1956730755658,185.5,183.77676056338,8,10,85.4
"1703030105",2017/11/03,"17","3",1,1,2750,780,"シゲルクロカジキ",1,1,1,"4",15,0,0,1,2,1,0,0,0,0,0,0,7,0,0,1,2,1,3,0,0,0,0,1,54.1171530692842,182.3,183.77676056338,4,5,11.3
"1703030105",2017/11/03,"17","3",1,1,2750,780,"ティナカヌメ",7,7,2,"3",9,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,54.6747455688916,182.1,183.77676056338,3,1,2.1
"1703030105",2017/11/03,"17","3",1,1,2750,780,"ニシノファルコン",7,8,1,"4",18,1,3,2,2,0,4,1,1,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,47.9836355736028,184.5,183.77676056338,7,7,19.2
"1703030105",2017/11/03,"17","3",1,1,2750,780,"ニシノリュウセイ",6,6,1,"4",19,0,1,1,3,0,4,0,0,1,2,0,8,0,1,0,2,0,5,0,1,0,2,0,57.1839118171249,181.2,183.77676056338,2,3,6
"1703030105",2017/11/03,"17","3",1,1,2750,780,"バンダムザブラッド",8,9,1,"4",15,1,0,0,3,3,3,0,0,0,1,0,2,0,0,0,0,1,5,0,0,0,1,2,49.9352093222287,183.8,183.77676056338,5,4,10.5
"1703030105",2017/11/03,"17","3",1,1,2750,780,"ブルーガーディアン",2,2,1,"5",27,1,0,1,3,4,0,0,0,0,0,0,3,0,0,1,1,0,3,0,0,1,1,0,48.8200243230139,184.2,183.77676056338,6,2,3.4
"1703030106",2017/11/03,"17","2",1,2,1700,750,"アテンフェスタ",1,1,1,"4",12,1,4,0,3,1,1,0,0,0,1,0,10,1,4,0,1,1,3,0,1,0,1,1,60.6179861564001,107,109.039348370927,3,5,8.6
