"RACE_ID","RACE_DATE","RACE_COURSE","COURSE","WEATHER","TRACK","DISTANCE","PRIZE1","HORSE_NAME","FRAME","NUM","GENDER","AGE","CNT","RANK_1","RANK_2","RANK_3","RANK_4","RANK_5","AVG_STD_DEV","RACE_COURSE_CNT","RACE_COURSE_RANK_1","RACE_COURSE_RANK_2","RACE_COURSE_RANK_3","RACE_COURSE_RANK_4","RACE_COURSE_RANK_5","RACE_COURSE_AVG_STD_DEV","COURSE_CNT","COURSE_RANK_1","COURSE_RANK_2","COURSE_RANK_3","COURSE_RANK_4","COURSE_RANK_5","COURSE_AVG_STD_DEV","DISTANCE_CNT","DISTANCE_RANK_1","DISTANCE_RANK_2","DISTANCE_RANK_3","DISTANCE_RANK_4","DISTANCE_RANK_5","DISTANCE_AVG_STD_DEV","STD_DEV","RACE_TIME","AVG_RACE_TIME","RANK","POPULARITY","ODDS"
"1708050112",2017/11/03,"17","2",1,1,1400,750,"キングジュエリー",1,2,1,"4",10,1,0,0,0,1,49.7621846187137,1,0,0,0,0,0,40.4055754332904,10,1,0,0,0,1,49.7621846187137,3,1,0,0,0,0,59.2941257569731,53.2318700691633,85.8,86.3938536585366,11,7,23.9
"1708050110",2017/11/03,"17","2",1,1,1400,1820,"スリーアロー",1,2,2,"6",29,3,8,3,1,0,56.9847985051175,14,1,4,2,1,0,57.3111969168162,24,3,8,2,1,0,59.2593662691689,10,1,1,1,0,0,53.5406227697503,54.86452991189,85.5,86.3938536585366,12,12,69.2
"1703030101",2017/11/03,"17","2",1,2,1700,500,"トーホウトリニティ",2,2,2,"2",1,0,0,0,0,0,10.0543108479047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9569996447967,110.2,109.039348370927,4,8,27.3
"1703030106",2017/11/03,"17","2",1,2,1700,750,"ウォーターバオバブ",2,2,1,"4",15,1,3,2,2,0,53.452648589663,0,0,0,0,0,0,0,15,1,3,2,2,0,53.452648589663,1,0,0,0,0,0,52.3259966428745,56.4527395284993,107.8,109.039348370927,9,10,17.5
"1703030103",2017/11/03,"17","2",1,2,1700,750,"ペイシャボム",2,2,1,"3",6,1,1,0,0,2,57.8689533799254,0,0,0,0,0,0,0,6,1,1,0,0,2,57.8689533799254,5,1,1,0,0,1,57.3877998000669,58.0147070139621,107.5,109.039348370927,7,2,5.3
"1708050102",2017/11/03,"17","2",1,1,1800,500,"ヴィンテージパール",2,2,2,"2",1,0,0,0,0,0,41.1583248452301,1,0,0,0,0,0,41.1583248452301,0,0,0,0,0,0,0,1,0,0,0,0,0,41.1583248452301,46.1643469161732,115.6,114.655613772455,4,7,34.3
"1708050108",2017/11/03,"17","2",1,1,1800,1050,"メイショウササユリ",2,2,2,"3",10,2,2,0,1,2,53.0571818173802,3,1,0,0,0,1,55.7271957143558,9,2,2,0,1,2,53.3874600218454,10,2,2,0,1,2,53.0571818173802,59.9735492368317,112.2,114.655613772455,8,7,14.1
"1708050103",2017/11/03,"17","1",1,1,1200,500,"バレンタインジェム",2,2,2,"2",1,0,1,0,0,0,50.1749905777667,0,0,0,0,0,0,0,1,0,1,0,0,0,50.1749905777667,1,0,1,0,0,0,50.1749905777667,48.9818698404201,70.5,70.3142857142857,7,3,4.4
"1703030102",2017/11/03,"17","1",1,1,1200,500,"ヤエノメイク",1,2,2,"2",3,0,0,0,0,0,35.3243439766104,0,0,0,0,0,0,0,3,0,0,0,0,0,35.3243439766104,2,0,0,0,0,0,36.0173144521011,45.1472665450465,71.2,70.4959404600812,10,12,221.2
"1703030107",2017/11/03,"17","1",1,1,1200,750,"グリーンバシリスク",1,2,2,"4",29,1,1,3,1,5,49.9885209616942,4,1,0,1,1,0,52.5761080735666,21,1,1,2,1,3,52.0829533097433,29,1,1,3,1,5,49.9885209616942,62.3785274676421,68.7,70.4959404600812,6,8,33.8
"1703030111",2017/11/03,"17","1",1,1,1200,1500,"エムオービーナス",1,2,2,"3",7,2,1,0,0,0,48.3640490588815,1,1,0,0,0,0,57.4678211567854,5,1,1,0,0,0,47.2125674557723,5,2,1,0,0,0,50.2461342834425,55.4860230986039,69.7,70.4959404600812,14,14,95.7
"1708050105",2017/11/03,"17","1",1,1,1400,700,"キャッチミーアップ",2,2,2,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0731837164465,83.5,83.5121896162528,2,8,43.5
"1708050111",2017/11/03,"17","1",1,1,1400,2900,"レグルドール",2,2,2,"2",3,2,1,0,0,0,49.3629783866338,0,0,0,0,0,0,0,3,2,1,0,0,0,49.3629783866338,3,2,1,0,0,0,49.3629783866338,49.4728061907836,83.6,83.5121896162528,9,10,38.5
"1708050107",2017/11/03,"17","1",1,1,1600,700,"ノーウォー",2,2,3,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5554819442278,96.3,96.624237804878,6,9,39.5
